feature,cohens_d,abs_d,mwu_p,bonf_sig
III_S_amp,-0.23439401388168335,0.23439401388168335,0.17333754897117615,False
aVR_ST40,0.2337757796049118,0.2337757796049118,0.08827659487724304,False
aVL_R_amp,0.23372019827365875,0.23372019827365875,0.1269359588623047,False
V1_ST80,0.22967460751533508,0.22967460751533508,0.18365231156349182,False
aVR_ST80,-0.22922730445861816,0.22922730445861816,0.145331472158432,False
aVL_QRS_dur,0.22639777448496218,0.22639777448496218,0.010249349425333234,False
V1_ST_slope,-0.22472435235977173,0.22472435235977173,0.0006272041937336326,False
III_ST40,0.22430187463760376,0.22430187463760376,0.20431526005268097,False
V6_J_amp,0.22312557697296143,0.22312557697296143,0.06597936898469925,False
II_J_amp,0.21893088519573212,0.21893088519573212,0.08578149229288101,False
V4_T_amp,-0.20087888836860657,0.20087888836860657,0.10267419368028641,False
aVL_S_amp,0.1992151439189911,0.1992151439189911,0.19441485404968262,False
aVL_ST_slope,-0.19835114479064941,0.19835114479064941,0.03139260783791542,False
V6_J_to_R_ratio,-0.18342386186122894,0.18342386186122894,0.11040563136339188,False
V3_S_amp,-0.1829223334789276,0.1829223334789276,0.11571557074785233,False
aVF_S_amp,-0.16932803392410278,0.16932803392410278,0.16420625150203705,False
V5_J_amp,0.1691853404045105,0.1691853404045105,0.11628600209951401,False
II_S_amp,-0.16726289689540863,0.16726289689540863,0.130337193608284,False
aVF_J_amp,0.15913932025432587,0.15913932025432587,0.3280813992023468,False
V3_ST_slope,-0.15000326931476593,0.15000326931476593,0.12390419840812683,False
aVL_J_amp,0.14347721636295319,0.14347721636295319,0.14979977905750275,False
aVL_ST80,-0.12085351347923279,0.12085351347923279,0.4701279103755951,False
I_ST_slope,-0.11586421728134155,0.11586421728134155,0.25933170318603516,False
V4_ST_slope,0.11331532895565033,0.11331532895565033,0.268262654542923,False
III_J_amp,-0.10221408307552338,0.10221408307552338,0.34038859605789185,False
V4_J_to_R_ratio,0.1003429964184761,0.1003429964184761,0.10529006272554398,False
V5_T_amp,-0.09918998181819916,0.09918998181819916,0.2817763686180115,False
V6_S_amp,-0.09888479858636856,0.09888479858636856,0.08160622417926788,False
V5_J_to_R_ratio,0.08162042498588562,0.08162042498588562,0.0988476425409317,False
V6_T_amp,-0.07247163355350494,0.07247163355350494,0.33174291253089905,False
III_J_to_R_ratio,-0.05860178545117378,0.05860178545117378,0.0013078136835247278,False
aVF_T_amp,0.0552857331931591,0.0552857331931591,0.4823046624660492,False
RR_std,-0.03670065081540005,0.03670065081540005,0.0008024348848355506,False
V3_R_amp,0.033820148557424545,0.033820148557424545,0.6962898373603821,False
V3_J_to_R_ratio,-0.013543142937123775,0.013543142937123775,0.010684739798307419,False
II_T_amp,0.00833789724856615,0.00833789724856615,0.871569037437439,False
